iteration,iteration_best,global_best,iteration_average
1,5798.6763,5798.6763,6006.2611
2,5776.1459,5776.1459,5961.2675
3,5788.5464,5776.1459,5982.8434
4,5788.6171,5776.1459,5970.7845
5,5788.7101,5776.1459,5962.2444
6,5780.8966,5776.1459,5949.3287
7,5794.5765,5776.1459,5969.6694
8,5790.8114,5776.1459,5958.6592
9,5789.0894,5776.1459,5943.8548
10,5791.0274,5776.1459,5942.7658
11,5789.5348,5776.1459,5934.5121
12,5792.6161,5776.1459,5929.6319
13,5790.6259,5776.1459,5938.9675
14,5791.828,5776.1459,5913.7874
15,5792.3064,5776.1459,5935.2976
